temp,RH,wind,area
0.192926045,0.423529412,0.7,0
0.508038585,0.211764706,0.055555556,0
0.398713826,0.211764706,0.1,0
0.196141479,0.964705882,0.4,0
0.295819936,0.988235294,0.155555556,0
0.643086817,0.164705882,0.555555556,0
0.704180064,0.141176471,0.3,0
0.186495177,0.835294118,0.2,0
0.350482315,0.564705882,0.555555556,0
0.662379421,0.294117647,0.4,0
0.501607717,0.423529412,0.755555556,0
0.549839228,0.270588235,0.4,0
0.475884244,0.670588235,0.7,0
0.61414791,0.317647059,0.2,0
0.778135048,0.070588235,0.455555556,0
0.665594855,0.341176471,0.555555556,0
0.414790997,0.141176471,0.555555556,0
0.466237942,0.376470588,0.5,0
0.440514469,0.235294118,0.4,0
0.22829582,0.341176471,0.455555556,0
0.517684887,0.294117647,0.255555556,0
0.54340836,0.270588235,0.255555556,0
0.604501608,0.341176471,0.455555556,0
0.556270096,0.329411765,0.6,0
0.691318328,0.2,0.6,0
0.453376206,0.529411765,0.555555556,0
0.540192926,0.223529412,0.6,0
0.553054662,0.388235294,0.1,0
0.900321543,0.105882353,0.255555556,0
0.662379421,0.282352941,0.355555556,0
0.745980707,0.105882353,0.355555556,0
0.289389068,0.741176471,0.8,0
0.591639871,0.258823529,0.155555556,0
0.498392283,0.282352941,0.355555556,0
0.610932476,0.2,0.255555556,0
0.514469453,0.552941176,0.455555556,0
0.627009646,0.105882353,0.455555556,0
0.292604502,0.529411765,0.555555556,0
0.501607717,0.141176471,0.4,0
0.382636656,0.329411765,0.255555556,0
0.678456592,0.258823529,0.3,0
0.520900322,0.317647059,0.7,0
0.463022508,0.458823529,0.555555556,0
0.559485531,0.388235294,0.255555556,0
0.344051447,0.694117647,0.5,0
0.762057878,0.105882353,0.4,0
0.40192926,0.647058824,0.355555556,0
0.668810289,0.247058824,0.3,0
0.308681672,0.235294118,0.155555556,0
0.282958199,0.364705882,0.6,0
0.59807074,0.023529412,0.1,0
0.620578778,0.223529412,0.2,0
0.585209003,0.317647059,0.5,0
0.585209003,0.317647059,0.5,0
0.495176849,0.352941176,0.355555556,0
0.819935691,0.105882353,0.2,0
0.501607717,0.564705882,0.5,0
0.372990354,0.411764706,0.255555556,0
0.376205788,0.294117647,0.555555556,0
